ご意見・ご感想	年代
いつも面白いコンテンツを有難うございます	40
Processing やp5.jsを教えていただきたいです。	40
ベイズ統計	50
ニューラルネットワーク、サンプルサイズ計算、やや複雑な統計解析手法	40
時系列データの分析（状態空間モデルなど）のセミナー	40
オンラインセミナーに、Teamsで参加できるようにして欲しい。	50
機械学習を使えるようになりたい	50
音声認識について学びたい。	50
平日は遅めに始めていただいた方が参加しやすいです。	20
GANの実装のセミナーがあると参加したいです。	50
リアルでのセミナーも今後可能になれば復活してほしい。	30
今回のキャンペーンにはスケジュールが合わないので参加できませんが、またこのような機会があればお願いします。	40
統計検定1級を目指していますので、1級の内容の講座を希望します。	50
アンケートの分析について、必要なデータ数や項目について学びたい。	30
Pythonを使った効率改善やレポーティング方法について知りたい。	30
テキスト情報を分析できる方法があれば知りたいです。	30
R・SQLの講座を希望します。	30
テキストのディープラーニング	40
会社の同僚に勧められて受講しましたが、とても楽しく学べるので、私も知り合いに紹介しています。	20
機械学習に関する数学、数学検定、統計検定	40
テキストデータの分析をデータの収集から行えるようになるセミナー	50
データ同士の因果関係をどう読み取るか	30
算数の学び直しができるセミナーをお願いします。	40
授業で作ったアートをパワポの資料や会社の広告に活用しています！	40
数学がどのように役に立っているかを学べるセミナーがあれば参加したいです。	30
日本円以外での支払（例：米ドル）が可能になると、海外からの参加者も増えるかと思います。是非ご検討いただけると幸いです。	40
Pythonを使ってプログラミングができるようになりたい	30
役に立つ算数・数学	40
〇〇セミナーの開催日程が少なく、日程を合わせるのが難しいので、開催日程のオプションをもっと増やして欲しいです。	20
"算数、数学を学問的な意味合いで全体像を学ぶセミナーがあれば参加したいです。
1:子供の算数対策の為に、図形、四則演算、他で、何をすれば良いのか。
2:関数、図形、確率など、色んな分野があるが、算数数学ではこれがどう繋がって世の中に利用されているか"	30
R言語のセミナーがあれば参加したいです。	30
テキストを分類を行いたい（BERTモデルなど）。	20
機械学習の実装について	40
中学数学や高校数学	30
平日日中開催のセミナーが増えると参加しやすいです。	20
状態空間モデル	40
分析で交絡要因を読む取るのがとても難しいです。	30
機械学習でどのモデルを選べばいいのか知りたい	40
RNN	50
